channel_cd,interval_ts_local,meter_id,voltage_lvt,amps_lct,power_factor_pf,number_of_phases,year,month,day,hour,minute,second,week,dayofweek
a,2021-04-02 05:00:00+11:00,396.0,245.95666666666668,0.37844916666666667,-0.7075,1.0,2021.0,4.0,2.0,5.0,12.5,0.0,13.0,4.0
a,2021-04-02 05:30:00+11:00,396.0,247.41,0.45650066666666667,-0.7876666666666666,1.0,2021.0,4.0,2.0,5.0,42.5,0.0,13.0,4.0
a,2021-04-02 06:00:00+11:00,396.0,245.69833333333335,0.3935955,-0.722,1.0,2021.0,4.0,2.0,6.0,12.5,0.0,13.0,4.0
a,2021-04-02 06:30:00+11:00,396.0,245.745,0.394333,-0.7288333333333333,1.0,2021.0,4.0,2.0,6.0,42.5,0.0,13.0,4.0
a,2021-04-02 07:00:00+11:00,396.0,246.08833333333334,0.42560766666666666,-0.793,1.0,2021.0,4.0,2.0,7.0,12.5,0.0,13.0,4.0
a,2021-04-02 07:30:00+11:00,396.0,245.37333333333333,0.424738,-0.7908333333333334,1.0,2021.0,4.0,2.0,7.0,42.5,0.0,13.0,4.0
a,2021-04-02 08:00:00+11:00,396.0,244.89333333333335,0.3848243333333334,-0.7266666666666666,1.0,2021.0,4.0,2.0,8.0,12.5,0.0,13.0,4.0
a,2021-04-02 08:30:00+11:00,396.0,245.66833333333332,0.4299341666666667,-0.7858333333333333,1.0,2021.0,4.0,2.0,8.0,42.5,0.0,13.0,4.0
a,2021-04-02 09:00:00+11:00,396.0,248.28333333333333,0.4406858333333334,-0.7915,1.0,2021.0,4.0,2.0,9.0,12.5,0.0,13.0,4.0
a,2021-04-02 09:30:00+11:00,396.0,250.62,0.47279866666666664,-0.8491666666666666,1.0,2021.0,4.0,2.0,9.0,42.5,0.0,13.0,4.0
a,2021-04-02 10:00:00+11:00,396.0,247.71333333333334,1.7548973333333333,-0.9916666666666667,1.0,2021.0,4.0,2.0,10.0,12.5,0.0,13.0,4.0
a,2021-04-02 10:30:00+11:00,396.0,248.66166666666666,0.6986261666666667,-0.00033333333333333365,1.0,2021.0,4.0,2.0,10.0,42.5,0.0,13.0,4.0
a,2021-04-02 11:00:00+11:00,396.0,251.28666666666666,0.5867821666666667,-0.9861666666666666,1.0,2021.0,4.0,2.0,11.0,12.5,0.0,13.0,4.0
a,2021-04-02 11:30:00+11:00,396.0,250.39166666666665,0.5798896666666667,-0.9866666666666667,1.0,2021.0,4.0,2.0,11.0,42.5,0.0,13.0,4.0
a,2021-04-02 12:00:00+11:00,396.0,251.20166666666668,0.5694946666666666,-0.9856666666666666,1.0,2021.0,4.0,2.0,12.0,12.5,0.0,13.0,4.0
a,2021-04-02 12:30:00+11:00,396.0,248.75666666666666,0.5678263333333334,-0.9841666666666667,1.0,2021.0,4.0,2.0,12.0,42.5,0.0,13.0,4.0
a,2021-04-02 13:00:00+11:00,396.0,248.73000000000002,0.4815243333333334,-0.8583333333333334,1.0,2021.0,4.0,2.0,13.0,12.5,0.0,13.0,4.0
a,2021-04-02 13:30:00+11:00,396.0,247.38,0.3950886666666667,-0.7238333333333333,1.0,2021.0,4.0,2.0,13.0,42.5,0.0,13.0,4.0
a,2021-04-02 14:00:00+11:00,396.0,247.58833333333334,0.3429788333333333,-0.6608333333333333,1.0,2021.0,4.0,2.0,14.0,12.5,0.0,13.0,4.0
a,2021-04-02 14:30:00+11:00,396.0,249.13,0.38253766666666666,-0.7241666666666666,1.0,2021.0,4.0,2.0,14.0,42.5,0.0,13.0,4.0
a,2021-04-02 15:00:00+11:00,396.0,247.82833333333335,0.38386666666666663,-0.7243333333333334,1.0,2021.0,4.0,2.0,15.0,12.5,0.0,13.0,4.0
a,2021-04-02 15:30:00+11:00,396.0,246.635,0.39332900000000004,-0.7398333333333333,1.0,2021.0,4.0,2.0,15.0,42.5,0.0,13.0,4.0
a,2021-04-02 16:00:00+11:00,396.0,245.57500000000002,0.4000871666666666,-0.7338333333333332,1.0,2021.0,4.0,2.0,16.0,12.5,0.0,13.0,4.0
a,2021-04-02 16:30:00+11:00,396.0,243.21333333333334,0.39577983333333333,-0.7411666666666666,1.0,2021.0,4.0,2.0,16.0,42.5,0.0,13.0,4.0
a,2021-04-02 17:00:00+11:00,396.0,244.50833333333333,0.38866683333333335,-0.733,1.0,2021.0,4.0,2.0,17.0,12.5,0.0,13.0,4.0
a,2021-04-02 17:30:00+11:00,396.0,242.53666666666666,5.7549095,-0.3356666666666667,1.0,2021.0,4.0,2.0,17.0,42.5,0.0,13.0,4.0
a,2021-04-02 18:00:00+11:00,396.0,245.89333333333335,4.20616,0.9108333333333333,1.0,2021.0,4.0,2.0,18.0,12.5,0.0,13.0,4.0
a,2021-04-02 18:30:00+11:00,396.0,243.95833333333334,3.9156933333333335,0.9223333333333333,1.0,2021.0,4.0,2.0,18.0,42.5,0.0,13.0,4.0
a,2021-04-02 19:00:00+11:00,396.0,237.41833333333332,3.3611516666666668,0.9123333333333333,1.0,2021.0,4.0,2.0,19.0,12.5,0.0,13.0,4.0
a,2021-04-02 19:30:00+11:00,396.0,238.63333333333333,3.9945033333333337,0.9291666666666667,1.0,2021.0,4.0,2.0,19.0,42.5,0.0,13.0,4.0
a,2021-04-02 20:00:00+11:00,396.0,239.54999999999998,2.1953001666666667,-0.023499999999999983,1.0,2021.0,4.0,2.0,20.0,12.5,0.0,13.0,4.0
a,2021-04-02 20:30:00+11:00,396.0,239.47333333333336,0.7404646666666667,0.010333333333333342,1.0,2021.0,4.0,2.0,20.0,42.5,0.0,13.0,4.0
a,2021-04-02 21:00:00+11:00,396.0,238.32666666666668,0.7660748333333333,0.3405,1.0,2021.0,4.0,2.0,21.0,12.5,0.0,13.0,4.0
a,2021-04-02 21:30:00+11:00,396.0,237.245,0.7493445,0.3405,1.0,2021.0,4.0,2.0,21.0,42.5,0.0,13.0,4.0
a,2021-04-02 22:00:00+11:00,396.0,239.33833333333334,0.6288531666666667,-0.31783333333333336,1.0,2021.0,4.0,2.0,22.0,12.5,0.0,13.0,4.0
a,2021-04-02 22:30:00+11:00,396.0,239.51166666666666,0.6986406666666666,0.01200000000000001,1.0,2021.0,4.0,2.0,22.0,42.5,0.0,13.0,4.0
a,2021-04-02 23:00:00+11:00,396.0,241.15166666666667,0.7341736666666666,0.3406666666666667,1.0,2021.0,4.0,2.0,23.0,12.5,0.0,13.0,4.0
a,2021-04-02 23:30:00+11:00,396.0,242.51,1.0033101666666668,-0.9209999999999999,1.0,2021.0,4.0,2.0,23.0,42.5,0.0,13.0,4.0
a,2021-04-03 00:00:00+11:00,396.0,243.13833333333332,0.7173983333333332,-0.9166666666666666,1.0,2021.0,4.0,3.0,0.0,12.5,0.0,13.0,5.0
a,2021-04-03 00:30:00+11:00,396.0,243.53,0.6200945,-0.977,1.0,2021.0,4.0,3.0,0.0,42.5,0.0,13.0,5.0
a,2021-04-03 01:00:00+11:00,396.0,243.36666666666667,0.6131988333333334,-0.9768333333333333,1.0,2021.0,4.0,3.0,1.0,12.5,0.0,13.0,5.0
a,2021-04-03 01:30:00+11:00,396.0,243.14999999999998,0.5865655,-0.9751666666666666,1.0,2021.0,4.0,3.0,1.0,42.5,0.0,13.0,5.0
a,2021-04-03 02:00:00+11:00,396.0,245.76333333333332,0.429428,-0.7156666666666666,1.0,2021.0,4.0,3.0,2.0,12.5,0.0,13.0,5.0
a,2021-04-03 02:30:00+11:00,396.0,246.49833333333333,0.4138313333333333,-0.6993333333333333,1.0,2021.0,4.0,3.0,2.0,42.5,0.0,13.0,5.0
a,2021-04-03 03:00:00+11:00,396.0,245.26999999999998,0.40884866666666664,-0.695,1.0,2021.0,4.0,3.0,3.0,12.5,0.0,13.0,5.0
a,2021-04-03 03:30:00+11:00,396.0,244.715,0.40706333333333333,-0.6936666666666667,1.0,2021.0,4.0,3.0,3.0,42.5,0.0,13.0,5.0
a,2021-04-03 04:00:00+11:00,396.0,241.885,0.41283983333333335,-0.6966666666666667,1.0,2021.0,4.0,3.0,4.0,12.5,0.0,13.0,5.0
